property_id,property_name,type_id,location_id,source_id,agent_id,size_sqft,size_sqm,bedrooms,maid_rooms,bathrooms,price,available_from,payment_method,down_payment,status,listed_date,sold_date,city,region,country,Latitude,Longitude
14269,Apartment in Cairo,1,4,3,264,3229.17,300,5,1,2,1500000,4/24/2024,Mortgage,192034.98,Sold,1/1/2022,1/17/2022,Cairo,New Cairo,Egypt,30.0697,31.3468
11809,Apartment in Giza,2,3,3,479,1291.67,120,2,1,1,7490000,3/2/2024,Cash,4500000,Sold,1/13/2022,1/21/2022,Cairo,New Capital,Egypt,30.0706,31.4837
8044,Chalet in Giza,2,3,3,790,1614.58,150,5,0,2,5000000,3/13/2023,Installment,374516.54,Sold,1/20/2022,1/22/2022,Cairo,New Capital,Egypt,30.0507,31.2452
1890,Apartment in Giza,4,4,3,558,2368.06,220,2,1,2,3123009,9/5/2024,Installment,400588.01,Sold,1/29/2022,2/13/2022,Cairo,New Cairo,Egypt,30.0953,31.3227
2798,Chalet in Matrouh,2,4,1,427,1722.22,160,2,1,2,6700000,11/26/2024,Mortgage,774848.88,Sold,2/3/2022,2/17/2022,Cairo,New Cairo,Egypt,30.0671,31.3384
4903,Chalet in Giza,4,6,1,412,1614.58,150,2,1,1,6000000,7/10/2024,Cash,2000000,Sold,2/14/2022,2/22/2022,Cairo,Madinaty,Egypt,29.9943,31.4064
12818,Chalet in Giza,1,4,1,702,3229.17,300,3,0,2,2200000,8/5/2023,Cash,2200000,Sold,1/24/2022,2/24/2022,Cairo,New Cairo,Egypt,30.0176,31.4943
3985,Townhouse in Matrouh,1,6,2,373,3229.17,300,2,1,3,8800000,10/13/2024,Mortgage,427296.13,Sold,2/17/2022,2/27/2022,Cairo,Madinaty,Egypt,30.0461,31.236
6048,Villa in Matrouh,2,6,2,419,1722.22,160,5,0,2,2712500,7/10/2023,Installment,757554.16,Sold,1/6/2022,2/27/2022,Cairo,Madinaty,Egypt,29.9658,31.2746
4342,Apartment in Matrouh,3,6,2,306,1291.67,120,5,0,2,31000000,4/1/2023,Installment,189299.26,Sold,1/3/2022,3/5/2022,Cairo,Madinaty,Egypt,30.0614,31.3365
5425,Villa in Giza,1,4,1,786,3229.17,300,2,0,2,14000000,5/9/2024,Mortgage,657894.8,Sold,1/3/2022,3/6/2022,Cairo,New Cairo,Egypt,30.0966,31.635
9882,Villa in Matrouh,1,6,2,433,1291.67,120,5,1,1,7300000,8/26/2023,Cash,2000000,Sold,1/1/2022,3/6/2022,Cairo,Madinaty,Egypt,30.0712,31.3455
4414,Villa in Cairo,4,6,1,390,2368.06,220,3,0,2,10000000,9/28/2024,Installment,310544.67,Sold,1/29/2022,3/8/2022,Cairo,Madinaty,Egypt,29.961,31.2628
82,Apartment in Giza,2,4,1,620,1722.22,160,2,0,2,7000000,1/3/2023,Installment,401667.37,Sold,3/8/2022,3/9/2022,Cairo,New Cairo,Egypt,30.1114,31.3568
2226,Villa in Giza,3,4,3,509,1722.22,160,3,1,4,5050000,8/23/2023,Installment,1187674.81,Sold,1/14/2022,3/14/2022,Cairo,New Cairo,Egypt,29.956,31.2667
2215,Chalet in Giza,3,3,3,581,2368.06,220,2,0,4,9900000,12/14/2023,Cash,2000000,Sold,1/24/2022,3/18/2022,Cairo,New Capital,Egypt,29.9542,31.2755
2194,Townhouse in Cairo,4,3,1,351,1614.58,150,2,0,3,4455000,6/14/2023,Mortgage,288479.92,Sold,1/27/2022,3/19/2022,Cairo,New Capital,Egypt,30.0754,31.4802
7010,Chalet in Matrouh,1,3,1,426,1291.67,120,2,1,4,13000000,1/30/2023,Cash,2000000,Sold,3/4/2022,3/19/2022,Cairo,New Capital,Egypt,30.0106,31.4966
9067,Townhouse in Cairo,3,3,3,409,1614.58,150,5,0,4,60000000,2/18/2023,Installment,1199800.04,Sold,2/13/2022,3/20/2022,Cairo,New Capital,Egypt,30.0651,31.3349
13907,Chalet in Cairo,4,3,1,747,3229.17,300,2,1,3,3000000,6/25/2023,Cash,3000000,Sold,2/1/2022,3/20/2022,Cairo,New Capital,Egypt,30.0588,31.3318
7019,Apartment in Cairo,1,4,1,470,1076.39,100,3,0,2,34190000,4/7/2023,Mortgage,469180.01,Sold,3/21/2022,3/24/2022,Cairo,New Cairo,Egypt,29.9621,31.2778
6189,Villa in Cairo,3,4,3,690,1076.39,100,2,0,1,23000000,5/17/2023,Cash,2000000,Sold,3/9/2022,3/26/2022,Cairo,New Cairo,Egypt,30.043,31.446
10008,Apartment in Giza,4,3,3,247,1722.22,160,5,0,2,7350000,2/3/2023,Mortgage,1081055.8,Sold,1/11/2022,3/26/2022,Cairo,New Capital,Egypt,29.9785,31.3546
12748,Chalet in Matrouh,3,4,1,143,1291.67,120,3,0,4,4500000,6/20/2024,Installment,1238643.54,Sold,2/18/2022,3/26/2022,Cairo,New Cairo,Egypt,30.0797,31.3044
11010,Villa in Giza,4,3,1,263,1722.22,160,2,0,2,20000000,1/2/2023,Mortgage,373358.38,Sold,2/8/2022,3/27/2022,Cairo,New Capital,Egypt,30.057,31.3418
10463,Apartment in Giza,1,6,3,389,1076.39,100,5,0,1,2800000,3/29/2024,Installment,350130.68,Sold,2/15/2022,3/31/2022,Cairo,Madinaty,Egypt,30.0219,31.2287
14562,Apartment in Cairo,1,3,1,523,3229.17,300,2,0,2,4500000,6/18/2023,Cash,4500000,Sold,2/28/2022,3/31/2022,Cairo,New Capital,Egypt,30.108,31.383
3901,Chalet in Cairo,2,3,2,386,1076.39,100,3,0,2,10000000,11/7/2023,Mortgage,438572.68,Sold,2/5/2022,4/3/2022,Cairo,New Capital,Egypt,30.0325,31.2311
7936,Chalet in Cairo,1,4,1,247,3229.17,300,2,0,2,3000000,2/20/2023,Installment,265651.07,Sold,2/2/2022,4/4/2022,Cairo,New Cairo,Egypt,30.0654,31.516
4616,Townhouse in Giza,3,4,1,112,1722.22,160,3,0,3,11000000,10/9/2024,Cash,2000000,Sold,3/12/2022,4/5/2022,Cairo,New Cairo,Egypt,30.0215,31.4268
4176,Villa in Matrouh,3,3,3,310,1076.39,100,3,0,1,8500000,1/4/2024,Mortgage,320103.54,Sold,1/4/2022,4/7/2022,Cairo,New Capital,Egypt,29.9627,31.274
9501,Villa in Cairo,2,3,2,403,1722.22,160,5,0,3,4000000,3/27/2023,Cash,8000000,Sold,3/26/2022,4/7/2022,Cairo,New Capital,Egypt,29.958,31.2763
2523,Villa in Cairo,1,3,1,355,3229.17,300,5,1,2,18800000,10/12/2023,Mortgage,2334666.63,Sold,3/18/2022,4/11/2022,Cairo,New Capital,Egypt,29.9577,31.2732
5819,Apartment in Cairo,3,4,3,121,1614.58,150,2,1,3,51054840,7/18/2024,Mortgage,1129266.74,Sold,2/28/2022,4/13/2022,Cairo,New Cairo,Egypt,30.0924,31.3045
5066,Chalet in Giza,4,3,2,522,3229.17,300,2,0,2,10342800,1/18/2024,Cash,2200000,Sold,2/28/2022,4/16/2022,Cairo,New Capital,Egypt,30.0934,31.3047
3607,Villa in Giza,1,3,1,572,2368.06,220,5,1,1,20000000,11/26/2024,Installment,750189.31,Sold,4/7/2022,4/18/2022,Cairo,New Capital,Egypt,29.9508,31.263
4104,Townhouse in Giza,2,6,2,508,1614.58,150,3,0,2,12240000,7/11/2024,Installment,309425.71,Sold,3/29/2022,4/20/2022,Cairo,Madinaty,Egypt,30.0475,31.3409
5545,Townhouse in Giza,2,3,1,207,1722.22,160,5,1,2,11500000,4/6/2023,Cash,1500000,Sold,2/13/2022,4/23/2022,Cairo,New Capital,Egypt,30.0067,31.4136
3259,Apartment in Matrouh,4,6,3,41,1076.39,100,5,1,4,9000000,3/16/2023,Cash,4500000,Sold,4/8/2022,4/25/2022,Cairo,Madinaty,Egypt,30.0611,31.3441
3367,Townhouse in Cairo,1,6,2,654,3229.17,300,3,0,2,20000000,7/27/2023,Mortgage,1155299.59,Sold,3/8/2022,4/25/2022,Cairo,Madinaty,Egypt,30.0683,31.2205
6435,Villa in Cairo,2,3,2,704,1722.22,160,3,0,2,45482040,1/15/2023,Installment,884506.72,Sold,2/18/2022,4/27/2022,Cairo,New Capital,Egypt,30.0755,31.657
2819,Chalet in Cairo,3,6,2,255,1291.67,120,3,1,4,11000000,10/31/2023,Installment,443388.95,Sold,4/1/2022,4/28/2022,Cairo,Madinaty,Egypt,30.0744,31.4802
2476,Villa in Giza,4,3,3,193,1076.39,100,3,0,2,17000000,9/3/2024,Installment,338440.47,Sold,3/24/2022,4/29/2022,Cairo,New Capital,Egypt,30.115,31.3583
11705,Townhouse in Cairo,1,6,3,645,1722.22,160,3,0,4,13000000,2/13/2024,Installment,533443.18,Sold,1/15/2022,5/2/2022,Cairo,Madinaty,Egypt,29.9608,31.2633
3785,Chalet in Cairo,2,4,1,730,1614.58,150,3,1,4,13000000,8/5/2024,Cash,1500000,Sold,5/2/2022,5/5/2022,Cairo,New Cairo,Egypt,30.0192,31.3016
7122,Apartment in Giza,1,3,2,683,1722.22,160,3,0,1,7102000,1/19/2024,Mortgage,797732.78,Sold,1/10/2022,5/11/2022,Cairo,New Capital,Egypt,30.0859,31.6487
3285,Chalet in Matrouh,3,3,1,634,1722.22,160,3,0,1,4130147,8/20/2024,Cash,8000000,Sold,2/10/2022,5/12/2022,Cairo,New Capital,Egypt,30.0277,31.4294
10725,Chalet in Giza,4,6,1,97,1291.67,120,3,0,4,13000000,11/23/2024,Mortgage,576935.83,Sold,3/1/2022,5/12/2022,Cairo,Madinaty,Egypt,29.9598,31.2632
9691,Townhouse in Cairo,2,4,3,655,1291.67,120,3,0,2,20500000,3/31/2024,Installment,410519.28,Sold,3/18/2022,5/13/2022,Cairo,New Cairo,Egypt,30.0051,31.4063
7798,Townhouse in Cairo,3,6,1,353,3229.17,300,3,0,2,9791000,8/1/2023,Cash,2200000,Sold,3/17/2022,5/15/2022,Cairo,Madinaty,Egypt,30.0841,31.6822
14994,Apartment in Cairo,4,4,1,101,3229.17,300,2,0,3,1500000,5/8/2023,Mortgage,161016.96,Sold,4/30/2022,5/15/2022,Cairo,New Cairo,Egypt,30.0467,31.2395
2782,Villa in Cairo,2,4,1,799,2368.06,220,3,1,1,15520000,1/12/2024,Cash,3000000,Sold,5/13/2022,5/16/2022,Cairo,New Cairo,Egypt,29.9622,31.2603
11003,Apartment in Giza,4,4,1,501,1722.22,160,3,0,3,13420000,9/22/2024,Cash,3000000,Sold,5/6/2022,5/16/2022,Cairo,New Cairo,Egypt,30,31.4505
431,Villa in Cairo,1,6,3,338,1722.22,160,2,0,1,20000000,2/21/2023,Installment,423578.17,Sold,4/23/2022,5/17/2022,Cairo,Madinaty,Egypt,30.0557,31.4896
772,Villa in Cairo,3,3,3,8,1076.39,100,2,0,2,10500000,10/12/2024,Cash,4500000,Sold,1/24/2022,5/17/2022,Cairo,New Capital,Egypt,29.9557,31.275
13819,Chalet in Cairo,4,3,1,775,3229.17,300,3,0,4,3000000,10/21/2023,Cash,3000000,Sold,2/24/2022,5/17/2022,Cairo,New Capital,Egypt,30.0245,31.4204
14427,Villa in Giza,2,6,2,305,1614.58,150,3,0,4,2000000,1/15/2023,Cash,2000000,Sold,5/7/2022,5/17/2022,Cairo,Madinaty,Egypt,29.9671,31.2775
6141,Chalet in Cairo,2,3,2,610,2368.06,220,3,0,2,6485000,6/28/2023,Mortgage,679959.75,Sold,2/7/2022,5/21/2022,Cairo,New Capital,Egypt,29.9815,31.2312
12795,Villa in Giza,4,4,3,17,2368.06,220,2,0,1,2000000,4/11/2024,Installment,389973.14,Sold,3/7/2022,5/21/2022,Cairo,New Cairo,Egypt,30.0566,31.3405
10880,Townhouse in Cairo,2,3,3,107,2368.06,220,3,0,2,6599000,12/16/2023,Mortgage,320680.49,Sold,1/15/2022,5/24/2022,Cairo,New Capital,Egypt,30.0732,31.6548
3376,Villa in Giza,4,4,3,35,1722.22,160,3,0,2,14350000,10/20/2024,Installment,552616.64,Sold,2/11/2022,5/26/2022,Cairo,New Cairo,Egypt,30.0221,31.4755
4633,Townhouse in Cairo,4,3,1,695,1614.58,150,5,1,2,25000000,12/12/2023,Mortgage,707869.1,Sold,1/2/2022,5/27/2022,Cairo,New Capital,Egypt,30.1021,31.3717
14450,Villa in Cairo,3,6,3,184,1076.39,100,3,1,4,2200000,9/6/2024,Installment,431479.17,Sold,1/4/2022,5/28/2022,Cairo,Madinaty,Egypt,30.0681,31.5164
1009,Villa in Cairo,4,6,3,601,1614.58,150,3,0,2,8033000,4/22/2024,Mortgage,314615.39,Sold,5/23/2022,5/31/2022,Cairo,Madinaty,Egypt,29.956,31.2658
2686,Apartment in Giza,4,3,1,513,3229.17,300,3,1,2,7500000,6/1/2024,Installment,900190.52,Sold,5/4/2022,5/31/2022,Cairo,New Capital,Egypt,30.0374,31.432
14414,Villa in Cairo,2,3,1,711,1722.22,160,2,0,2,2200000,6/8/2023,Installment,225866.32,Sold,3/28/2022,6/1/2022,Cairo,New Capital,Egypt,30.0832,31.646
4596,Apartment in Giza,3,3,2,306,1614.58,150,5,0,3,5000000,11/12/2024,Mortgage,268723.35,Sold,3/20/2022,6/3/2022,Cairo,New Capital,Egypt,29.9737,31.2371
5341,Apartment in Cairo,1,6,1,426,1722.22,160,3,1,2,3850000,9/18/2023,Installment,1276775.11,Sold,2/5/2022,6/3/2022,Cairo,Madinaty,Egypt,30.0703,31.3468
12892,Chalet in Giza,1,6,3,167,3229.17,300,2,0,2,2000000,9/11/2024,Installment,282459.17,Sold,4/2/2022,6/3/2022,Cairo,Madinaty,Egypt,30.0446,31.4365
14664,Villa in Cairo,1,3,3,513,1076.39,100,2,0,3,4500000,11/19/2024,Installment,1037534.19,Sold,5/18/2022,6/3/2022,Cairo,New Capital,Egypt,30.0533,31.4647
5011,Villa in Matrouh,4,6,1,748,1722.22,160,3,0,2,7900000,10/11/2023,Cash,8000000,Sold,1/30/2022,6/4/2022,Cairo,Madinaty,Egypt,30.0231,31.4835
2554,Apartment in Cairo,1,4,2,251,1722.22,160,3,0,2,47650000,1/5/2023,Cash,4500000,Sold,2/14/2022,6/5/2022,Cairo,New Cairo,Egypt,30.034,31.4371
826,Chalet in Matrouh,3,6,1,238,3229.17,300,3,0,1,4000000,3/12/2024,Cash,4500000,Sold,5/1/2022,6/7/2022,Cairo,Madinaty,Egypt,30.0139,31.54
2445,Chalet in Giza,4,3,2,310,1614.58,150,3,1,2,701643,9/16/2024,Cash,3000000,Sold,3/17/2022,6/9/2022,Cairo,New Capital,Egypt,30.038,31.2346
2893,Townhouse in Cairo,2,4,2,385,1291.67,120,5,1,4,5850000,2/27/2023,Cash,3000000,Sold,1/25/2022,6/9/2022,Cairo,New Cairo,Egypt,30.1069,31.3148
5606,Chalet in Cairo,3,4,1,351,3229.17,300,3,0,1,16250000,12/5/2023,Mortgage,2002980.27,Sold,2/17/2022,6/9/2022,Cairo,New Cairo,Egypt,30.0543,31.4781
7821,Villa in Cairo,1,4,1,730,2368.06,220,2,0,4,10279527,4/5/2023,Cash,8000000,Sold,2/27/2022,6/9/2022,Cairo,New Cairo,Egypt,30.0655,31.3323
13746,Townhouse in Cairo,1,4,2,168,1722.22,160,3,1,2,2200000,1/1/2024,Mortgage,657432.45,Sold,1/28/2022,6/9/2022,Cairo,New Cairo,Egypt,29.9855,31.3366
4113,Chalet in Giza,1,3,3,306,1614.58,150,2,1,3,15300000,5/24/2024,Installment,426190.78,Sold,1/6/2022,6/11/2022,Cairo,New Capital,Egypt,30.0894,31.346
5920,Chalet in Cairo,1,6,1,700,1614.58,150,2,0,3,6200000,3/18/2023,Installment,854124.34,Sold,4/2/2022,6/11/2022,Cairo,Madinaty,Egypt,30.1085,31.3829
1391,Villa in Cairo,2,6,1,619,1614.58,150,2,1,3,2720000,3/18/2023,Mortgage,354302.31,Sold,1/31/2022,6/12/2022,Cairo,Madinaty,Egypt,30.0452,31.2439
2187,Apartment in Giza,4,6,3,727,1722.22,160,2,0,2,9452000,11/7/2024,Cash,2000000,Sold,6/2/2022,6/14/2022,Cairo,Madinaty,Egypt,29.9609,31.2773
8011,Apartment in Cairo,3,4,2,652,1614.58,150,3,1,3,7400000,3/11/2024,Mortgage,575123.46,Sold,5/19/2022,6/14/2022,Cairo,New Cairo,Egypt,30.037,31.4558
5939,Chalet in Cairo,4,4,3,116,1614.58,150,3,0,4,16000000,4/30/2023,Cash,4500000,Sold,6/1/2022,6/15/2022,Cairo,New Cairo,Egypt,30.0618,31.2566
13010,Villa in Cairo,4,3,3,284,2368.06,220,5,0,2,8000000,11/5/2024,Installment,1264803.36,Sold,3/16/2022,6/15/2022,Cairo,New Capital,Egypt,30.0565,31.5043
4627,Apartment in Matrouh,1,6,3,163,1291.67,120,2,0,2,7900000,2/28/2024,Mortgage,735764.41,Sold,1/19/2022,6/17/2022,Cairo,Madinaty,Egypt,30.1385,31.6007
5852,Apartment in Giza,3,3,2,398,1614.58,150,2,0,3,7000000,2/2/2023,Mortgage,236868.09,Sold,5/7/2022,6/17/2022,Cairo,New Capital,Egypt,30.0236,31.4834
8591,Villa in Cairo,4,4,3,754,1614.58,150,5,0,2,1850000,1/6/2023,Cash,3000000,Sold,3/14/2022,6/17/2022,Cairo,New Cairo,Egypt,30.0181,31.4953
2540,Chalet in Giza,2,6,2,253,1076.39,100,5,0,1,7200000,8/31/2023,Cash,3000000,Sold,4/12/2022,6/18/2022,Cairo,Madinaty,Egypt,30.0663,31.2176
6126,Chalet in Cairo,3,6,3,445,2368.06,220,2,1,3,20000000,1/28/2024,Installment,2241644.94,Sold,3/4/2022,6/18/2022,Cairo,Madinaty,Egypt,29.9918,31.4203
11324,Apartment in Cairo,2,4,3,549,1722.22,160,3,0,1,13870343,2/6/2023,Installment,350529.54,Sold,2/3/2022,6/19/2022,Cairo,New Cairo,Egypt,30.0842,31.6751
13952,Villa in Matrouh,3,3,3,182,1291.67,120,5,0,2,1500000,9/22/2023,Cash,1500000,Sold,1/12/2022,6/19/2022,Cairo,New Capital,Egypt,30.11,31.3389
7904,Townhouse in Matrouh,1,4,3,442,1722.22,160,3,0,2,5900000,12/29/2024,Mortgage,594225.55,Sold,6/3/2022,6/20/2022,Cairo,New Cairo,Egypt,30.0591,31.4473
9756,Villa in Giza,2,3,2,202,1076.39,100,3,0,4,3950000,1/26/2024,Mortgage,338505.56,Sold,4/14/2022,6/20/2022,Cairo,New Capital,Egypt,30.0208,31.4912
5720,Townhouse in Cairo,4,4,3,122,2368.06,220,3,0,2,3350000,6/8/2024,Mortgage,528843.77,Sold,6/12/2022,6/21/2022,Cairo,New Cairo,Egypt,30.023,31.4927
12384,Chalet in Cairo,4,4,3,5,3229.17,300,2,0,2,2000000,1/22/2024,Installment,343583.17,Sold,4/18/2022,6/21/2022,Cairo,New Cairo,Egypt,30.1019,31.322
6400,Apartment in Giza,3,4,1,531,2368.06,220,3,0,2,23000000,1/21/2023,Cash,3000000,Sold,5/31/2022,6/22/2022,Cairo,New Cairo,Egypt,30.0533,31.4645
8021,Townhouse in Cairo,2,6,2,196,1076.39,100,3,0,3,6000000,2/15/2024,Mortgage,800069.99,Sold,3/22/2022,6/22/2022,Cairo,Madinaty,Egypt,30.0857,31.3445
4299,Chalet in Giza,4,3,1,301,2368.06,220,2,0,3,1935000,8/11/2023,Mortgage,252100.58,Sold,4/26/2022,6/23/2022,Cairo,New Capital,Egypt,30.0641,31.3357
6645,Apartment in Cairo,4,6,3,671,3229.17,300,2,0,1,31627957,6/5/2024,Cash,2200000,Sold,5/29/2022,6/23/2022,Cairo,Madinaty,Egypt,30.0866,31.6504
1899,Townhouse in Giza,3,3,3,652,3229.17,300,5,0,1,2592000,3/17/2024,Cash,4500000,Sold,6/7/2022,6/24/2022,Cairo,New Capital,Egypt,30.0809,31.3393
2306,Townhouse in Cairo,4,4,2,151,1614.58,150,3,1,2,8600000,7/12/2024,Mortgage,215997.61,Sold,5/7/2022,6/24/2022,Cairo,New Cairo,Egypt,30.0123,31.4172
9867,Apartment in Matrouh,2,4,3,684,2368.06,220,3,0,1,65000000,8/1/2024,Cash,2000000,Sold,3/22/2022,6/24/2022,Cairo,New Cairo,Egypt,29.9788,31.2794
9823,Townhouse in Cairo,1,4,1,741,1722.22,160,5,0,2,2400000,3/1/2024,Cash,2200000,Sold,1/30/2022,6/25/2022,Cairo,New Cairo,Egypt,30.0482,31.3243
10051,Villa in Giza,3,4,3,734,1076.39,100,2,0,2,17600000,8/2/2023,Installment,1606873.99,Sold,5/21/2022,6/25/2022,Cairo,New Cairo,Egypt,30.054,31.5132
1639,Villa in Giza,4,4,1,478,3229.17,300,3,1,3,4000000,8/7/2024,Cash,2000000,Sold,1/29/2022,6/26/2022,Cairo,New Cairo,Egypt,30.0168,31.4262
14893,Apartment in Matrouh,2,3,3,392,1614.58,150,3,0,4,2200000,6/6/2023,Installment,642473.88,Sold,6/8/2022,6/26/2022,Cairo,New Capital,Egypt,29.9699,31.2477
5646,Townhouse in Cairo,3,6,2,343,1722.22,160,3,1,2,20000000,10/1/2023,Installment,376151.49,Sold,3/19/2022,6/28/2022,Cairo,Madinaty,Egypt,30.0497,31.3267
7604,Villa in Cairo,4,6,2,119,1722.22,160,3,0,2,14000000,11/3/2024,Mortgage,493567.94,Sold,6/6/2022,6/28/2022,Cairo,Madinaty,Egypt,30.0483,31.3249
6102,Villa in Cairo,2,6,1,229,2368.06,220,2,0,1,25300000,8/15/2024,Mortgage,1072148.41,Sold,2/7/2022,6/29/2022,Cairo,Madinaty,Egypt,30.116,31.3539
13233,Townhouse in Giza,3,6,1,470,3229.17,300,3,0,2,2200000,6/15/2024,Installment,353937.97,Sold,1/27/2022,6/29/2022,Cairo,Madinaty,Egypt,30.0018,31.419
208,Chalet in Matrouh,1,3,1,723,1076.39,100,3,0,2,4290000,2/21/2024,Mortgage,456459.27,Sold,1/19/2022,7/1/2022,Cairo,New Capital,Egypt,29.9694,31.2478
12375,Chalet in Matrouh,1,3,1,789,1614.58,150,3,0,2,2200000,5/25/2023,Cash,2200000,Sold,5/29/2022,7/1/2022,Cairo,New Capital,Egypt,30.0725,31.5083
8244,Chalet in Matrouh,4,3,1,450,1722.22,160,5,0,1,16500000,11/8/2023,Cash,3000000,Sold,2/25/2022,7/2/2022,Cairo,New Capital,Egypt,30.0711,31.2209
9209,Villa in Cairo,3,3,1,434,1722.22,160,3,1,3,3500000,11/13/2024,Mortgage,1188085.38,Sold,6/8/2022,7/3/2022,Cairo,New Capital,Egypt,29.947,31.2689
3199,Townhouse in Cairo,3,4,1,284,1614.58,150,3,0,2,4000000,6/15/2024,Installment,474982.31,Sold,4/19/2022,7/4/2022,Cairo,New Cairo,Egypt,30.1077,31.6366
10377,Apartment in Cairo,1,3,3,700,1076.39,100,3,0,4,8760000,7/28/2023,Cash,3000000,Sold,4/13/2022,7/4/2022,Cairo,New Capital,Egypt,29.9546,31.2645
3154,Apartment in Giza,4,6,3,721,1614.58,150,3,1,2,5000000,9/16/2024,Mortgage,724631.51,Sold,3/18/2022,7/5/2022,Cairo,Madinaty,Egypt,30.0752,31.328
6480,Apartment in Cairo,2,3,2,736,1614.58,150,3,1,1,8000000,5/19/2023,Mortgage,786879.04,Sold,1/27/2022,7/5/2022,Cairo,New Capital,Egypt,30.0935,31.3341
12420,Townhouse in Cairo,3,3,2,608,1614.58,150,2,1,4,2200000,6/16/2023,Installment,614737.24,Sold,4/30/2022,7/5/2022,Cairo,New Capital,Egypt,30.1162,31.3327
7042,Chalet in Matrouh,4,4,3,74,2368.06,220,5,0,2,4000000,2/25/2023,Cash,1500000,Sold,4/22/2022,7/6/2022,Cairo,New Cairo,Egypt,29.9864,31.3405
1443,Chalet in Cairo,4,3,3,721,3229.17,300,3,0,2,7700000,9/8/2023,Mortgage,1699786.28,Sold,6/12/2022,7/8/2022,Cairo,New Capital,Egypt,30.0364,31.3581
10655,Chalet in Matrouh,2,6,1,530,3229.17,300,3,1,4,5000000,9/11/2023,Cash,3000000,Sold,5/20/2022,7/10/2022,Cairo,Madinaty,Egypt,30.0832,31.3379
11775,Apartment in Cairo,4,3,1,235,2368.06,220,3,0,2,27500000,3/24/2024,Cash,8000000,Sold,3/3/2022,7/10/2022,Cairo,New Capital,Egypt,29.9418,31.2732
4243,Townhouse in Giza,1,3,2,412,1722.22,160,5,0,2,5850000,2/20/2024,Mortgage,211185.25,Sold,5/5/2022,7/11/2022,Cairo,New Capital,Egypt,30.0316,31.4376
6114,Villa in Cairo,1,3,2,307,1722.22,160,5,0,3,22000000,3/7/2024,Installment,412735.47,Sold,6/14/2022,7/11/2022,Cairo,New Capital,Egypt,29.9548,31.2619
11329,Villa in Matrouh,1,4,2,281,2368.06,220,3,0,3,23000000,5/22/2023,Cash,8000000,Sold,4/2/2022,7/14/2022,Cairo,New Cairo,Egypt,30.0497,31.507
12755,Townhouse in Giza,2,3,1,158,1076.39,100,3,1,2,8000000,4/3/2023,Installment,1889614.74,Sold,3/15/2022,7/15/2022,Cairo,New Capital,Egypt,30.0725,31.3479
12944,Townhouse in Cairo,1,4,3,615,1291.67,120,3,0,2,4500000,12/30/2024,Mortgage,888398.07,Sold,1/17/2022,7/16/2022,Cairo,New Cairo,Egypt,30.021,31.4554
13709,Apartment in Cairo,4,4,3,106,2368.06,220,2,1,2,2200000,2/4/2023,Cash,2200000,Sold,6/18/2022,7/16/2022,Cairo,New Cairo,Egypt,30.0454,31.2459
2824,Villa in Cairo,2,3,3,282,3229.17,300,2,0,2,200500000,11/23/2024,Mortgage,1272028.05,Sold,5/24/2022,7/17/2022,Cairo,New Capital,Egypt,30.0024,31.4122
3852,Townhouse in Giza,2,4,3,174,2368.06,220,3,1,2,13000000,4/30/2024,Cash,4500000,Sold,3/2/2022,7/17/2022,Cairo,New Cairo,Egypt,30.047,31.2414
5297,Townhouse in Giza,4,6,1,293,1722.22,160,3,1,1,11400000,9/24/2024,Installment,481089.89,Sold,2/17/2022,7/18/2022,Cairo,Madinaty,Egypt,29.9473,31.2677
9217,Villa in Giza,3,4,3,741,1614.58,150,2,1,2,2000000,8/3/2023,Cash,3000000,Sold,5/18/2022,7/20/2022,Cairo,New Cairo,Egypt,30.0462,31.2427
2039,Chalet in Giza,2,3,2,293,1291.67,120,3,0,2,4950000,1/5/2023,Installment,327767.67,Sold,5/15/2022,7/21/2022,Cairo,New Capital,Egypt,30.0038,31.4125
