sale_id,lead_id,property_id,agent_id,sale_date,sale_price,commission_id,campaign_id
1,1,1,764,2022-10-21,8000000,1,24
2,7,2,97,2024-04-24,2000000,2,34
3,12,4,379,2024-04-21,1500000,3,43
4,13,5,726,2024-06-27,2200000,4,47
5,20,6,616,2023-03-03,8000000,5,29
6,23,9,735,2024-02-10,1500000,6,5
7,24,10,554,2024-04-29,2200000,7,39
8,25,11,713,2023-09-20,8000000,8,12
9,29,13,207,2023-05-29,2200000,9,37
10,31,14,297,2024-10-17,1500000,10,48
11,33,16,501,2024-07-15,1500000,11,30
12,37,17,211,2024-10-28,1500000,12,41
13,38,19,156,2024-01-21,2200000,13,42
14,41,20,431,2023-04-13,3000000,14,15
15,46,23,393,2022-10-27,3000000,15,37
16,48,24,23,2023-09-16,3000000,16,29
17,50,25,266,2023-02-13,3000000,17,21
18,53,26,308,2024-08-03,3000000,18,2
19,56,28,714,2023-06-07,2000000,19,10
20,57,29,70,2022-09-26,8000000,20,25
21,63,30,542,2024-06-26,8000000,21,6
22,65,35,634,2023-07-12,3000000,22,11
23,67,36,86,2024-03-19,2200000,23,13
24,71,37,564,2022-07-29,4500000,24,14
25,78,38,429,2023-11-16,8000000,25,4
26,80,39,563,2024-07-17,3000000,26,30
27,82,40,87,2024-09-21,3000000,27,21
28,88,41,65,2022-07-18,1500000,28,11
29,89,42,599,2024-02-20,3000000,29,36
30,91,44,34,2024-01-07,2000000,30,34
31,93,45,349,2024-04-03,2200000,31,18
32,97,46,589,2022-07-06,1500000,32,27
33,99,49,499,2023-06-19,4500000,33,14
34,103,50,665,2023-08-07,2000000,34,48
35,104,51,121,2023-12-02,3000000,35,28
36,109,52,113,2024-06-21,3000000,36,48
37,110,53,521,2022-07-31,1500000,37,32
38,115,54,234,2023-08-11,2200000,38,50
39,118,55,533,2024-01-15,2000000,39,7
40,123,56,533,2024-08-12,1500000,40,12
41,129,57,768,2024-07-08,4500000,41,39
42,130,59,489,2023-08-01,2200000,42,13
43,131,60,758,2024-03-22,4500000,43,24
44,132,61,598,2024-05-16,4500000,44,15
45,137,62,701,2024-11-22,1500000,45,41
46,141,63,46,2024-04-27,2200000,46,12
47,150,65,586,2024-05-19,3000000,47,45
48,152,66,773,2023-06-11,2000000,48,43
49,154,67,417,2024-07-26,3000000,49,23
50,160,69,303,2024-05-04,3000000,50,26
51,164,70,726,2024-11-01,2200000,51,17
52,171,72,115,2023-12-18,8000000,52,14
53,172,77,798,2024-10-25,1500000,53,8
54,180,78,554,2022-08-25,2000000,54,44
55,184,79,120,2024-04-12,2200000,55,42
56,186,81,590,2024-04-02,1500000,56,37
57,192,82,270,2022-03-09,2200000,57,37
58,195,83,27,2024-07-01,2200000,58,12
59,197,85,77,2023-11-01,1500000,59,18
60,199,86,265,2023-12-02,8000000,60,25
61,203,87,708,2024-10-16,8000000,61,41
62,204,88,531,2024-02-23,4500000,62,49
63,211,89,16,2024-06-03,8000000,63,33
64,212,91,698,2023-05-30,4500000,64,31
65,213,92,312,2024-08-23,2000000,65,35
66,216,93,267,2024-10-02,4500000,66,49
67,217,94,112,2024-03-17,8000000,67,47
68,218,95,629,2023-03-02,8000000,68,9
69,219,96,300,2023-10-31,4500000,69,6
70,220,97,663,2023-05-18,4500000,70,48
71,224,100,697,2024-05-31,4500000,71,16
72,227,102,474,2023-06-04,2000000,72,41
73,228,103,381,2023-11-22,4500000,73,50
74,229,104,222,2024-06-08,2200000,74,12
75,230,105,252,2024-04-14,3000000,75,47
76,233,107,471,2024-01-23,2000000,76,22
77,234,108,109,2024-10-20,1500000,77,33
78,239,111,194,2023-05-21,2200000,78,16
79,243,113,404,2024-06-30,8000000,79,37
80,245,114,215,2024-08-29,1500000,80,20
81,249,116,355,2024-01-16,3000000,81,31
82,254,117,500,2022-12-01,4500000,82,26
83,257,118,75,2024-11-30,2000000,83,49
84,259,119,162,2024-12-10,1500000,84,43
85,262,121,48,2023-07-11,2200000,85,12
86,269,123,542,2024-12-13,2200000,86,15
87,272,125,642,2023-01-09,3000000,87,2
88,275,126,36,2022-12-18,1500000,88,46
89,277,127,375,2024-08-01,2000000,89,49
90,283,128,634,2024-08-19,3000000,90,26
91,284,130,597,2023-12-12,3000000,91,42
92,286,131,15,2024-04-09,2000000,92,4
93,288,134,456,2023-02-22,4500000,93,39
94,289,136,600,2024-11-12,3000000,94,18
95,297,137,730,2023-01-21,1500000,95,14
96,299,140,374,2023-01-03,3000000,96,17
97,301,142,600,2024-05-18,8000000,97,10
98,311,145,585,2024-05-31,4500000,98,4
99,312,146,292,2024-01-11,2200000,99,35
100,313,147,36,2024-10-19,1500000,100,8
101,314,148,31,2024-03-10,4500000,101,38
102,317,150,560,2023-07-01,4500000,102,22
103,323,152,591,2024-09-08,1500000,103,16
104,325,153,464,2022-11-25,4500000,104,45
105,326,154,192,2023-05-29,3000000,105,7
106,327,155,628,2023-02-12,8000000,106,45
107,328,157,751,2023-08-02,1500000,107,18
108,329,159,465,2024-07-03,1500000,108,19
109,332,160,630,2024-05-26,2200000,109,33
110,334,161,753,2024-09-02,3000000,110,3
111,336,162,118,2024-08-16,3000000,111,40
112,337,163,62,2024-05-11,1500000,112,39
113,339,165,725,2023-07-03,2200000,113,11
114,341,166,309,2024-05-27,4500000,114,29
115,348,168,663,2023-09-23,4500000,115,22
116,355,169,279,2023-06-27,4500000,116,20
117,356,170,341,2023-06-27,4500000,117,36
118,358,171,17,2023-05-29,1500000,118,20
119,362,172,283,2023-09-21,1500000,119,10
120,363,175,562,2022-11-27,4500000,120,33
121,371,176,406,2024-03-29,2000000,121,32
122,373,177,160,2023-04-17,2000000,122,9
123,375,178,691,2023-05-02,1500000,123,31
124,378,179,280,2024-12-02,3000000,124,4
125,381,180,421,2024-06-09,1500000,125,26
126,384,182,476,2024-01-26,4500000,126,32
127,386,184,308,2023-08-23,1500000,127,20
128,393,188,276,2023-03-26,3000000,128,47
129,394,189,83,2023-06-30,2200000,129,31
130,396,190,428,2024-03-27,8000000,130,41
131,398,191,663,2024-06-14,8000000,131,5
132,401,192,636,2024-10-13,3000000,132,8
133,402,193,544,2024-11-30,8000000,133,31
134,403,194,612,2024-09-01,4500000,134,1
135,406,195,186,2023-05-10,2000000,135,30
136,408,196,368,2024-04-06,2000000,136,31
137,409,198,365,2024-02-25,2000000,137,8
138,414,199,448,2024-02-02,2000000,138,22
139,416,200,358,2022-12-25,1500000,139,22
140,421,204,756,2023-06-19,2200000,140,3
141,424,205,527,2023-10-20,1500000,141,34
142,426,208,297,2022-07-01,2000000,142,11
143,430,210,765,2024-11-24,3000000,143,16
144,434,211,131,2024-11-15,2000000,144,32
145,435,213,415,2024-06-06,4500000,145,34
146,437,214,21,2023-11-02,2000000,146,5
147,439,215,496,2024-02-20,3000000,147,16
148,441,216,210,2024-06-21,1500000,148,15
149,444,217,173,2023-12-28,2200000,149,32
150,445,219,567,2023-06-18,2000000,150,41
151,446,221,235,2023-03-11,2000000,151,6
152,448,222,222,2023-03-15,4500000,152,24
153,452,225,670,2024-09-20,3000000,153,41
154,455,226,622,2023-12-21,4500000,154,21
155,459,227,107,2022-08-21,4500000,155,46
156,461,228,500,2024-12-31,3000000,156,20
157,465,229,443,2024-04-23,2000000,157,4
158,468,230,552,2024-04-04,3000000,158,13
159,470,231,173,2024-02-24,2000000,159,17
160,471,233,45,2024-08-26,8000000,160,29
161,472,234,768,2023-12-03,4500000,161,33
162,473,235,124,2024-03-07,3000000,162,37
163,475,237,285,2024-10-19,3000000,163,39
164,479,238,445,2022-12-04,1500000,164,13
165,480,239,574,2023-11-20,8000000,165,36
166,483,240,583,2023-10-16,4500000,166,3
167,485,241,585,2024-03-02,8000000,167,22
168,490,242,126,2024-07-09,2200000,168,50
169,495,243,310,2024-02-10,3000000,169,26
170,499,244,320,2023-05-16,2000000,170,12
171,501,248,586,2024-10-11,2200000,171,50
172,502,249,565,2024-07-11,8000000,172,29
173,503,250,80,2024-10-04,8000000,173,25
174,506,252,151,2024-12-25,1500000,174,29
175,513,254,447,2024-09-03,4500000,175,33
176,515,256,272,2023-04-21,3000000,176,34
177,517,257,593,2024-04-17,2000000,177,14
178,521,258,563,2024-02-05,8000000,178,39
179,524,259,48,2024-06-18,8000000,179,40
180,527,260,733,2024-06-14,1500000,180,41
181,534,263,49,2023-05-20,1500000,181,50
182,536,266,116,2022-11-06,3000000,182,1
183,540,267,412,2023-10-30,8000000,183,11
184,541,269,771,2022-08-27,4500000,184,32
185,546,270,313,2023-01-01,2000000,185,15
186,552,271,46,2024-09-29,2200000,186,50
187,554,272,55,2023-12-26,2000000,187,23
188,555,273,307,2023-08-26,2200000,188,36
189,557,275,733,2024-08-13,1500000,189,20
190,559,276,643,2024-10-17,3000000,190,31
191,560,277,12,2024-09-28,2000000,191,29
192,561,279,140,2024-01-23,8000000,192,10
193,563,282,679,2024-01-22,3000000,193,45
194,564,285,441,2024-01-24,2000000,194,43
195,565,287,790,2022-04-25,8000000,195,25
196,567,288,626,2023-12-09,8000000,196,20
197,570,289,653,2024-04-04,2000000,197,5
198,573,290,490,2024-08-06,2200000,198,38
199,574,292,78,2024-10-09,1500000,199,50
200,578,293,395,2024-12-27,8000000,200,40
201,580,296,497,2023-12-24,2000000,201,7
202,582,297,413,2024-12-20,4500000,202,16
203,583,300,590,2024-04-17,2000000,203,28
204,588,302,643,2024-01-23,4500000,204,20
205,589,303,332,2024-01-20,1500000,205,46
206,593,304,43,2023-09-10,8000000,206,20
207,594,305,168,2024-11-10,3000000,207,5
208,595,307,687,2023-09-16,8000000,208,42
209,596,309,499,2022-09-06,8000000,209,14
210,604,313,202,2023-12-17,1500000,210,19
211,605,315,140,2023-10-28,8000000,211,26
212,606,316,186,2024-01-21,3000000,212,9
213,608,319,127,2023-05-02,2200000,213,38
214,610,321,393,2023-08-30,8000000,214,46
215,611,323,619,2024-04-25,3000000,215,39
216,613,324,56,2023-12-29,2200000,216,4
217,616,325,555,2023-10-22,3000000,217,24
218,622,327,368,2024-02-05,3000000,218,28
219,625,328,1,2024-10-24,3000000,219,2
220,634,329,97,2022-10-26,1500000,220,10
221,639,330,78,2024-03-10,1500000,221,28
222,643,331,785,2024-03-06,8000000,222,4
223,653,332,196,2024-04-12,2200000,223,3
224,654,334,487,2023-10-15,3000000,224,2
225,656,335,419,2023-06-06,2000000,225,47
226,658,338,584,2023-07-18,8000000,226,23
227,667,339,519,2024-01-15,3000000,227,27
228,668,341,765,2024-12-27,4500000,228,25
229,670,342,592,2024-11-04,2000000,229,17
230,671,343,366,2024-10-10,4500000,230,7
231,673,344,546,2023-08-19,2200000,231,29
232,674,345,427,2024-04-06,2000000,232,10
233,675,346,675,2024-01-06,3000000,233,27
234,676,347,423,2024-05-29,8000000,234,14
235,682,348,580,2023-11-26,4500000,235,30
236,683,350,409,2024-06-11,8000000,236,10
237,684,352,751,2024-01-16,1500000,237,31
238,687,355,351,2023-12-14,2000000,238,33
239,693,356,127,2024-06-10,2000000,239,29
240,698,357,700,2023-09-04,2000000,240,49
241,701,359,487,2024-06-23,2200000,241,2
242,702,360,757,2024-08-13,2000000,242,29
243,705,362,516,2023-06-13,3000000,243,25
244,706,363,711,2024-03-04,2200000,244,37
245,710,364,780,2024-01-16,3000000,245,24
246,714,365,505,2023-11-12,8000000,246,45
247,720,366,639,2024-08-11,2000000,247,28
248,721,367,271,2023-11-19,4500000,248,14
249,723,370,115,2024-09-08,2200000,249,34
250,724,371,139,2023-05-31,3000000,250,48
251,725,373,591,2023-10-28,3000000,251,39
252,726,374,31,2023-02-20,2200000,252,13
253,736,375,707,2023-09-19,3000000,253,49
254,739,376,497,2024-06-15,4500000,254,9
255,745,377,283,2024-03-17,1500000,255,19
256,749,379,444,2024-05-10,1500000,256,40
257,759,380,222,2023-06-02,4500000,257,15
258,763,382,435,2024-05-25,3000000,258,48
259,773,384,276,2023-03-02,3000000,259,42
260,774,385,343,2024-01-11,1500000,260,32
261,775,386,564,2024-09-23,8000000,261,6
262,778,387,64,2024-08-20,2000000,262,1
263,782,388,275,2022-09-14,1500000,263,1
264,784,389,122,2024-06-25,1500000,264,7
265,790,390,308,2022-09-14,1500000,265,32
266,793,392,474,2023-06-13,3000000,266,40
267,794,393,333,2023-10-02,1500000,267,27
268,795,394,283,2024-11-19,8000000,268,44
269,798,395,666,2024-12-04,8000000,269,24
270,802,396,587,2024-05-08,4500000,270,22
271,805,397,698,2024-03-10,2200000,271,16
272,808,398,45,2024-02-01,2200000,272,10
273,811,399,284,2024-09-17,8000000,273,37
274,815,401,454,2024-03-26,4500000,274,15
275,820,402,564,2023-12-21,2000000,275,25
276,823,403,255,2023-09-14,4500000,276,2
277,824,404,777,2024-01-06,8000000,277,27
278,830,405,478,2024-03-30,4500000,278,18
279,834,407,465,2023-12-15,1500000,279,33
280,845,409,624,2024-11-17,2200000,280,16
281,847,412,383,2022-09-18,3000000,281,46
282,848,413,55,2024-06-15,8000000,282,1
283,850,414,21,2023-04-12,2200000,283,23
284,852,416,271,2024-06-18,2200000,284,9
285,854,417,667,2024-06-05,1500000,285,33
286,855,418,768,2024-12-14,2200000,286,46
287,862,420,778,2023-09-09,8000000,287,34
288,867,425,385,2024-01-06,4500000,288,11
289,869,426,590,2024-07-31,2000000,289,6
290,873,427,145,2024-06-27,2200000,290,41
291,882,428,478,2024-05-08,2200000,291,25
292,883,429,565,2023-07-25,1500000,292,39
293,889,431,770,2022-05-17,1500000,293,24
294,892,432,242,2024-05-20,2200000,294,30
295,894,433,460,2022-11-20,8000000,295,14
296,895,435,169,2024-11-05,2000000,296,9
297,898,436,518,2023-09-02,2200000,297,49
298,899,437,562,2023-07-28,2200000,298,8
299,900,438,160,2023-12-09,4500000,299,45
300,902,439,625,2023-05-02,3000000,300,7
301,904,441,627,2023-11-19,2000000,301,22
302,907,443,340,2023-07-07,4500000,302,31
303,909,448,431,2023-05-03,8000000,303,49
304,917,450,283,2024-02-27,2000000,304,10
305,922,451,199,2024-06-12,3000000,305,12
306,923,452,112,2023-12-13,2200000,306,13
307,925,453,51,2024-01-30,2000000,307,19
308,926,454,434,2024-11-20,4500000,308,50
309,927,455,621,2024-07-18,8000000,309,12
310,931,456,165,2024-12-10,2000000,310,36
311,938,459,133,2024-01-04,3000000,311,22
312,942,460,644,2023-06-26,2200000,312,12
313,944,461,76,2023-05-16,1500000,313,19
314,948,462,392,2023-11-01,4500000,314,22
315,953,463,88,2023-11-15,1500000,315,11
316,962,464,479,2024-10-31,1500000,316,41
317,965,465,34,2024-05-07,2200000,317,33
318,966,466,588,2023-12-16,1500000,318,33
319,967,467,431,2023-04-29,2000000,319,46
320,974,468,433,2024-11-18,2200000,320,29
321,977,474,444,2024-07-30,2000000,321,17
322,980,476,530,2024-05-01,1500000,322,22
323,981,478,122,2024-04-27,2200000,323,41
324,982,480,464,2022-09-16,8000000,324,5
325,983,482,178,2024-07-06,2200000,325,23
326,985,483,142,2023-09-27,8000000,326,20
327,986,484,374,2023-08-12,4500000,327,14
328,987,486,660,2024-07-11,2000000,328,15
329,988,487,642,2024-07-07,1500000,329,13
330,991,488,123,2024-06-14,2000000,330,14
331,995,489,692,2023-08-29,4500000,331,22
332,996,491,330,2024-07-18,8000000,332,2
333,999,493,393,2023-06-18,1500000,333,16
334,1005,494,580,2024-05-16,3000000,334,43
335,1006,496,380,2023-11-10,4500000,335,19
336,1011,497,582,2024-09-02,2000000,336,26
337,1012,498,233,2024-07-18,4500000,337,33
338,1015,499,628,2023-11-29,4500000,338,1
339,1021,500,266,2024-08-06,1500000,339,45
340,1022,503,692,2024-02-25,8000000,340,40
341,1035,504,216,2024-07-08,2000000,341,49
342,1037,505,402,2023-10-14,3000000,342,22
343,1040,507,198,2024-04-19,3000000,343,43
344,1045,508,49,2022-09-21,4500000,344,9
345,1051,509,143,2024-04-29,4500000,345,11
346,1052,510,536,2023-03-30,8000000,346,32
347,1053,513,624,2024-10-16,2200000,347,6
348,1055,518,712,2024-12-06,2200000,348,20
349,1056,519,136,2023-09-07,2000000,349,49
350,1063,521,195,2023-01-23,2000000,350,17
351,1066,522,647,2023-10-28,4500000,351,10
352,1071,523,414,2022-12-29,2000000,352,42
353,1072,524,615,2023-04-11,2200000,353,38
354,1073,525,580,2024-05-11,3000000,354,7
355,1075,526,70,2023-06-15,4500000,355,7
356,1080,527,153,2023-06-12,3000000,356,23
357,1082,531,129,2024-01-11,8000000,357,5
358,1087,536,231,2023-03-16,4500000,358,40
359,1093,537,226,2023-02-26,3000000,359,43
360,1095,538,689,2022-08-01,3000000,360,41
361,1097,539,230,2023-02-15,8000000,361,44
362,1101,540,58,2024-07-05,4500000,362,30
363,1103,543,661,2024-05-04,1500000,363,16
364,1105,545,6,2024-11-30,3000000,364,14
365,1107,548,213,2024-05-21,8000000,365,12
366,1111,551,13,2024-06-12,2200000,366,12
367,1113,553,735,2024-12-15,2000000,367,2
368,1123,554,606,2024-12-31,8000000,368,10
369,1127,555,605,2024-08-17,3000000,369,35
370,1130,557,645,2023-11-23,3000000,370,25
371,1132,558,708,2024-01-13,8000000,371,43
372,1134,560,92,2024-06-18,8000000,372,19
373,1135,564,620,2022-12-16,2000000,373,25
374,1137,566,390,2024-07-25,8000000,374,22
375,1138,567,360,2024-01-26,2000000,375,47
376,1142,568,728,2024-06-25,2200000,376,10
377,1144,570,483,2024-09-02,2000000,377,29
378,1146,575,390,2024-05-29,1500000,378,41
379,1151,576,521,2022-10-05,4500000,379,30
380,1153,577,585,2024-03-05,3000000,380,48
381,1156,578,638,2024-05-01,2000000,381,26
382,1157,581,72,2023-09-17,3000000,382,23
383,1159,583,233,2023-11-03,1500000,383,23
384,1164,584,533,2023-06-29,2000000,384,4
385,1166,585,608,2024-10-25,2000000,385,9
386,1167,586,533,2024-12-07,1500000,386,38
387,1171,587,268,2024-11-01,2200000,387,20
388,1175,588,690,2024-02-23,8000000,388,34
389,1176,590,136,2024-01-17,3000000,389,18
390,1178,592,397,2023-01-22,8000000,390,2
391,1179,593,257,2024-04-05,8000000,391,8
392,1181,594,32,2023-01-09,3000000,392,18
393,1185,596,688,2024-09-28,4500000,393,13
394,1186,599,692,2023-01-21,1500000,394,8
395,1187,600,272,2024-02-27,1500000,395,15
396,1189,601,666,2024-02-02,4500000,396,46
397,1203,602,379,2024-04-06,2000000,397,28
398,1205,605,308,2023-05-05,2200000,398,1
399,1209,606,80,2023-08-22,2200000,399,3
400,1215,607,489,2023-07-09,1500000,400,5
